dataset_name,num_clients,round,class_name,precision,recall,f1,support
covid,5,0,COVID,0.13793103448275862,0.005532503457814661,0.010638297872340425,723
covid,5,0,Lung_Opacity,0.1111111111111111,0.004156275976724855,0.008012820512820512,1203
covid,5,0,Normal,0.9302325581395349,0.019627085377821395,0.03844305622296973,2038
covid,5,0,Viral Pneumonia,0.06389698736637513,0.9776951672862454,0.11995438996579247,269
covid,5,1,COVID,0.18390219052470708,0.9986168741355463,0.3106044310604431,723
covid,5,1,Lung_Opacity,0.8957654723127035,0.228595178719867,0.36423841059602646,1203
covid,5,1,Normal,0.0,0.0,0.0,2038
covid,5,1,Viral Pneumonia,0.0,0.0,0.0,269
covid,5,2,COVID,0.3746586564718733,0.9488243430152143,0.5371965544244323,723
covid,5,2,Lung_Opacity,0.757527733755943,0.7946799667497921,0.7756592292089249,1203
covid,5,2,Normal,0.9685534591194969,0.5289499509322866,0.6842272294509679,2038
covid,5,2,Viral Pneumonia,1.0,0.10037174721189591,0.18243243243243243,269
covid,5,3,COVID,0.5427251732101617,0.975103734439834,0.6973293768545994,723
covid,5,3,Lung_Opacity,0.8657894736842106,0.8204488778054863,0.8425096030729834,1203
covid,5,3,Normal,0.9619172685489166,0.7188420019627085,0.8228025835439483,2038
covid,5,3,Viral Pneumonia,0.8597785977859779,0.8661710037174721,0.8629629629629629,269
covid,5,4,COVID,0.5526110678098207,0.9806362378976486,0.7068793619142573,723
covid,5,4,Lung_Opacity,0.9003724394785847,0.8038237738985868,0.8493631971892841,1203
covid,5,4,Normal,0.9591439688715954,0.725711481844946,0.8262569832402235,2038
covid,5,4,Viral Pneumonia,0.7784431137724551,0.966542750929368,0.8623548922056384,269
covid,5,5,COVID,0.8013698630136986,0.970954356846473,0.8780487804878049,723
covid,5,5,Lung_Opacity,0.9140989729225023,0.8137988362427265,0.86103781882146,1203
covid,5,5,Normal,0.9279682066567313,0.9165848871442591,0.9222414218711429,2038
covid,5,5,Viral Pneumonia,0.945054945054945,0.9591078066914498,0.9520295202952029,269
