dataset_name,num_clients,round,class_name,precision,recall,f1,support
covid,3,0,COVID,0.0,0.0,0.0,723
covid,3,0,Lung_Opacity,0.2860879904875149,1.0,0.444896449704142,1203
covid,3,0,Normal,0.0,0.0,0.0,2038
covid,3,0,Viral Pneumonia,0.0,0.0,0.0,269
covid,3,1,COVID,0.2262429200755192,0.9944674965421854,0.36862342988977187,723
covid,3,1,Lung_Opacity,0.949438202247191,0.2809642560266002,0.43361128928800513,1203
covid,3,1,Normal,0.9670958512160229,0.33169774288518156,0.4939715016441359,2038
covid,3,1,Viral Pneumonia,0.0,0.0,0.0,269
covid,3,2,COVID,0.504950495049505,0.9875518672199171,0.6682264857276556,723
covid,3,2,Lung_Opacity,0.9081858407079646,0.6824605153782212,0.7793070716658757,1203
covid,3,2,Normal,0.9458010720667064,0.7791952894995093,0.8544525154694647,2038
covid,3,2,Viral Pneumonia,0.9364406779661016,0.8215613382899628,0.8752475247524752,269
covid,3,3,COVID,0.8335343787696019,0.9557399723374828,0.8904639175257731,723
covid,3,3,Lung_Opacity,0.8587301587301587,0.8994181213632585,0.878603329273244,1203
covid,3,3,Normal,0.943127962085308,0.8788027477919529,0.9098298196596393,2038
covid,3,3,Viral Pneumonia,0.9591836734693877,0.8736059479553904,0.914396887159533,269
covid,3,4,COVID,0.938375350140056,0.9266943291839558,0.9324982602644398,723
covid,3,4,Lung_Opacity,0.9264305177111717,0.8478802992518704,0.8854166666666666,1203
covid,3,4,Normal,0.9044526901669759,0.956820412168793,0.9298998569384835,2038
covid,3,4,Viral Pneumonia,0.9656488549618321,0.9405204460966543,0.9529190207156308,269
covid,3,5,COVID,0.941747572815534,0.9391424619640387,0.9404432132963989,723
covid,3,5,Lung_Opacity,0.9180470793374019,0.8753117206982544,0.8961702127659574,1203
covid,3,5,Normal,0.9244102070293693,0.9421000981354269,0.9331713244228432,2038
covid,3,5,Viral Pneumonia,0.9027777777777778,0.966542750929368,0.933572710951526,269
