dataset_name,num_clients,image_id,true_class,predicted_class,confidence,correct,mean_gradcam_score,max_gradcam_score,mean_pm_grid_score,max_pm_grid_score,top_pm_grid_index,gradcam_pm_overlap_score
brain_tumor_mri,3,0000,glioma,glioma,0.958121,True,0.296245,1.0,0.42877,1.0,14,0.124669
brain_tumor_mri,3,0001,glioma,glioma,0.998897,True,0.314052,1.0,0.330271,1.0,5,0.469789
brain_tumor_mri,3,0002,glioma,glioma,0.994045,True,0.425186,1.0,0.424888,1.0,14,0.362126
brain_tumor_mri,3,0003,glioma,glioma,0.985672,True,0.409389,1.0,0.33498,1.0,9,0.209877
brain_tumor_mri,3,0004,glioma,glioma,0.999242,True,0.362384,1.0,0.344797,1.0,10,0.792128
brain_tumor_mri,3,0005,meningioma,pituitary,0.613129,False,0.3181,1.0,0.448257,1.0,14,0.07808
brain_tumor_mri,3,0006,meningioma,meningioma,0.984284,True,0.256075,1.0,0.433646,1.0,6,0.126892
brain_tumor_mri,3,0007,meningioma,meningioma,0.98332,True,0.306552,1.0,0.470926,1.0,11,0.066485
brain_tumor_mri,3,0008,meningioma,meningioma,0.997999,True,0.236523,1.0,0.43484,1.0,14,0.101414
brain_tumor_mri,3,0009,meningioma,meningioma,0.823316,True,0.278974,1.0,0.406983,1.0,14,0.138656
brain_tumor_mri,3,0010,notumor,notumor,0.999129,True,0.414734,1.0,0.467257,1.0,13,0.260498
brain_tumor_mri,3,0011,notumor,notumor,0.998366,True,0.489972,1.0,0.381106,1.0,9,0.149876
brain_tumor_mri,3,0012,notumor,notumor,0.998669,True,0.436401,1.0,0.41775,1.0,9,0.136207
brain_tumor_mri,3,0013,notumor,notumor,0.980031,True,0.469689,1.0,0.364432,1.0,9,0.238958
brain_tumor_mri,3,0014,notumor,notumor,0.996257,True,0.481698,1.0,0.280978,1.0,5,0.177288
brain_tumor_mri,3,0015,pituitary,pituitary,0.885655,True,0.443315,1.0,0.463446,1.0,9,0.203607
brain_tumor_mri,3,0016,pituitary,pituitary,0.99526,True,0.396316,1.0,0.387491,1.0,1,0.247849
brain_tumor_mri,3,0017,pituitary,pituitary,0.996561,True,0.408682,1.0,0.371659,1.0,1,0.075308
brain_tumor_mri,3,0018,pituitary,pituitary,0.995112,True,0.415563,1.0,0.505589,1.0,1,0.000359
brain_tumor_mri,3,0019,pituitary,pituitary,0.992239,True,0.405159,1.0,0.319504,1.0,9,0.349414
