dataset_name,num_clients,image_id,true_class,predicted_class,confidence,correct,mean_gradcam_score,max_gradcam_score,mean_pm_grid_score,max_pm_grid_score,top_pm_grid_index,gradcam_pm_overlap_score
brain_tumor_mri,3,0000,glioma,glioma,0.958121,True,0.296245,1.0,0.42877,1.0,14,0.124669
brain_tumor_mri,3,0001,glioma,glioma,0.998897,True,0.314052,1.0,0.330271,1.0,5,0.469789
brain_tumor_mri,3,0002,glioma,glioma,0.994045,True,0.425186,1.0,0.424888,1.0,14,0.362126
brain_tumor_mri,3,0003,glioma,glioma,0.985672,True,0.409389,1.0,0.33498,1.0,9,0.209877
brain_tumor_mri,3,0004,glioma,glioma,0.999242,True,0.362384,1.0,0.344797,1.0,10,0.792128
brain_tumor_mri,3,0005,meningioma,pituitary,0.613129,False,0.3181,1.0,0.448257,1.0,14,0.07808
brain_tumor_mri,3,0006,meningioma,meningioma,0.984284,True,0.256075,1.0,0.433646,1.0,6,0.126892
brain_tumor_mri,3,0007,meningioma,meningioma,0.98332,True,0.306552,1.0,0.470926,1.0,11,0.066485
brain_tumor_mri,3,0008,meningioma,meningioma,0.997999,True,0.236523,1.0,0.43484,1.0,14,0.101414
brain_tumor_mri,3,0009,meningioma,meningioma,0.823316,True,0.278974,1.0,0.406983,1.0,14,0.138656
brain_tumor_mri,3,0010,notumor,notumor,0.999129,True,0.414734,1.0,0.467257,1.0,13,0.260498
brain_tumor_mri,3,0011,notumor,notumor,0.998366,True,0.489972,1.0,0.381106,1.0,9,0.149876
brain_tumor_mri,3,0012,notumor,notumor,0.998669,True,0.436401,1.0,0.41775,1.0,9,0.136207
brain_tumor_mri,3,0013,notumor,notumor,0.980031,True,0.469689,1.0,0.364432,1.0,9,0.238958
brain_tumor_mri,3,0014,notumor,notumor,0.996257,True,0.481698,1.0,0.280978,1.0,5,0.177288
brain_tumor_mri,3,0015,pituitary,pituitary,0.885655,True,0.443315,1.0,0.463446,1.0,9,0.203607
brain_tumor_mri,3,0016,pituitary,pituitary,0.99526,True,0.396316,1.0,0.387491,1.0,1,0.247849
brain_tumor_mri,3,0017,pituitary,pituitary,0.996561,True,0.408682,1.0,0.371659,1.0,1,0.075308
brain_tumor_mri,3,0018,pituitary,pituitary,0.995112,True,0.415563,1.0,0.505589,1.0,1,0.000359
brain_tumor_mri,3,0019,pituitary,pituitary,0.992239,True,0.405159,1.0,0.319504,1.0,9,0.349414
colon_cancer_or_pathology,3,0000,colon_aca,colon_aca,0.999995,True,0.586508,1.0,0.576627,0.999999,7,0.024628
colon_cancer_or_pathology,3,0001,colon_aca,colon_aca,0.999996,True,0.60819,1.0,0.432608,1.0,3,0.009
colon_cancer_or_pathology,3,0002,colon_aca,colon_aca,0.999997,True,0.573144,1.0,0.338205,1.0,5,0.153736
colon_cancer_or_pathology,3,0003,colon_aca,colon_aca,0.999996,True,0.59101,1.0,0.340065,1.0,0,0.029378
colon_cancer_or_pathology,3,0004,colon_aca,colon_aca,0.99998,True,0.521576,1.0,0.345564,1.0,11,0.077151
colon_cancer_or_pathology,3,0005,colon_n,colon_n,1.0,True,0.250063,1.0,0.382281,1.0,10,0.43401
colon_cancer_or_pathology,3,0006,colon_n,colon_n,0.999763,True,0.178324,1.0,0.409841,1.0,5,0.037294
colon_cancer_or_pathology,3,0007,colon_n,colon_n,0.999999,True,0.220254,1.0,0.359919,0.999999,12,0.135233
colon_cancer_or_pathology,3,0008,colon_n,colon_n,0.999999,True,0.255244,1.0,0.289862,1.0,11,0.118751
colon_cancer_or_pathology,3,0009,colon_n,colon_n,0.999991,True,0.253348,1.0,0.496423,0.999999,12,0.124849
covid,3,0000,COVID,COVID,0.69711,True,0.350583,1.0,0.345162,1.0,4,0.168754
covid,3,0001,COVID,COVID,0.668638,True,0.401886,1.0,0.39183,0.999999,7,0.102624
covid,3,0002,COVID,COVID,0.732319,True,0.434341,1.0,0.367685,1.0,6,0.425652
covid,3,0003,COVID,COVID,0.976151,True,0.493464,1.0,0.620428,1.0,5,0.279718
covid,3,0004,COVID,COVID,0.974836,True,0.45183,1.0,0.319511,1.0,6,0.327127
covid,3,0005,Lung_Opacity,Normal,0.913469,False,0.297173,1.0,0.313942,1.0,0,0.078404
covid,3,0006,Lung_Opacity,Lung_Opacity,0.98381,True,0.334038,1.0,0.342905,1.0,4,0.066803
covid,3,0007,Lung_Opacity,Lung_Opacity,0.974324,True,0.383191,1.0,0.245314,1.0,4,0.059012
covid,3,0008,Lung_Opacity,Lung_Opacity,0.999056,True,0.357127,1.0,0.447263,1.0,10,0.053852
covid,3,0009,Lung_Opacity,Normal,0.695402,False,0.213326,1.0,0.32769,1.0,4,0.041298
covid,3,0010,Normal,Normal,0.916154,True,0.34916,1.0,0.381338,1.0,1,0.10046
covid,3,0011,Normal,Normal,0.981704,True,0.34218,1.0,0.426904,1.0,6,0.220827
covid,3,0012,Normal,Normal,0.966104,True,0.349668,1.0,0.367607,1.0,4,0.086807
covid,3,0013,Normal,Normal,0.95852,True,0.363867,1.0,0.313643,1.0,5,0.178342
covid,3,0014,Normal,Normal,0.983406,True,0.439118,1.0,0.454875,1.0,9,0.530455
covid,3,0015,Viral Pneumonia,Viral Pneumonia,0.999547,True,0.465014,1.0,0.546978,1.0,11,0.202645
covid,3,0016,Viral Pneumonia,Viral Pneumonia,0.992697,True,0.399678,1.0,0.612928,1.0,0,0.13387
covid,3,0017,Viral Pneumonia,Viral Pneumonia,0.999698,True,0.521622,1.0,0.340578,1.0,5,0.508327
covid,3,0018,Viral Pneumonia,Viral Pneumonia,0.998301,True,0.468062,1.0,0.471886,1.0,5,0.090972
covid,3,0019,Viral Pneumonia,Viral Pneumonia,0.999383,True,0.429161,1.0,0.425952,1.0,6,0.324648
